bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,price
1,1.2,5280,40749,1.3,1,1,3,5011,1310,1967,0,1778794
1,2.3,2352,17907,2.2,0,2,3,3179,1999,1949,0,1278337
3,3.1,5410,19777,2.0,1,2,2,1787,1677,1923,0,618926
1,1.2,5768,94229,2.2,0,3,2,3853,1076,1918,2020,534814
4,3.7,4675,52745,1.0,1,4,2,1355,1327,1999,0,1276134
5,2.3,3433,92865,2.7,0,0,2,2112,1092,1959,0,1643431
1,1.7,3784,82818,2.9,1,4,5,5103,360,1938,0,472955
3,1.3,4798,24624,2.1,1,4,4,1673,1625,1973,1990,1680668
3,1.5,3311,24321,2.4,1,3,1,4211,1981,1988,0,1469541
1,3.8,5848,11488,2.8,1,0,3,3025,1243,1917,0,1102330
5,2.9,1750,23574,2.4,1,3,5,2782,1985,1918,0,1649908
1,2.6,4012,6240,1.3,0,0,1,1841,1009,1935,0,117260
3,3.0,1756,44221,2.2,1,1,5,3379,703,1973,0,1165488
2,2.3,3876,11478,2.2,1,0,5,2197,1989,1996,2000,306695
4,3.2,5762,56645,1.8,1,3,3,4790,574,1954,0,582994
3,1.1,3986,20262,2.5,0,4,4,4409,1608,2013,0,845326
1,2.7,4084,53796,2.9,1,0,2,5250,1184,1968,0,396130
4,1.5,1896,5432,2.9,0,0,4,1794,1704,1946,0,918374
1,1.4,4137,96257,1.9,1,2,3,4681,1112,1948,0,1805548
1,2.0,3830,65291,1.2,1,4,3,1669,687,1998,0,79725
2,1.3,3203,80104,3.0,0,1,3,5132,780,2007,0,1235574
4,1.3,970,60399,2.7,1,3,1,5787,584,1997,0,154555
4,1.9,5631,80714,1.2,0,1,4,4114,1780,1932,0,311486
2,3.9,1853,51428,2.8,0,4,4,929,588,2018,0,845928
3,1.5,3283,88731,2.7,1,0,5,4023,1182,1920,0,1679311
1,1.1,3331,1302,2.0,0,0,5,3358,488,1980,2000,938036
5,3.3,5563,83558,2.2,1,4,5,3314,970,1921,0,1783742
1,3.4,857,1055,1.8,1,0,3,5289,1347,1947,0,924631
1,2.0,3519,9717,1.1,0,0,4,3991,1633,1936,2000,615609
3,2.4,1167,29699,1.7,0,0,3,2547,1404,1914,0,1875977
1,2.9,4968,74686,2.6,0,3,1,4973,1125,1934,2000,283103
2,1.1,5627,68661,1.0,0,3,5,3769,493,1991,0,1032599
2,3.8,1645,45247,1.7,1,2,3,1339,1667,1970,2020,465872
4,3.7,5967,17748,1.8,1,1,3,925,1637,1931,0,105147
5,1.8,4685,5621,2.1,0,4,1,401,18,1910,0,1714260
1,1.0,4219,16034,2.8,1,4,2,774,1477,1909,0,492882
1,3.8,3245,6126,1.7,1,4,4,2740,1505,1972,2010,525584
3,2.5,1039,6122,1.7,1,2,2,4405,1617,1977,2000,350931
2,2.6,3279,19030,2.5,1,3,5,3452,396,1976,0,294839
5,3.1,5464,83838,1.9,0,2,3,5048,1000,1956,0,506162
4,2.8,4636,85717,1.4,0,4,1,2765,1302,1924,2010,596015
2,3.8,5335,56658,1.9,1,1,1,1925,850,1901,0,1862287
4,3.8,4275,39638,1.3,0,0,4,4876,1388,1963,1990,1193657
3,3.6,5820,68067,1.4,0,3,2,2046,1354,1934,2000,1483441
3,2.9,5524,89869,2.0,0,3,4,413,1664,1906,0,1863994
1,3.4,3008,35674,1.8,1,2,3,4999,1367,1984,0,1690920
5,3.0,3279,36854,2.8,1,3,4,2678,821,1917,0,1757017
4,2.7,1424,47271,1.7,1,4,1,3555,454,1966,0,739556
